﻿孙铁宗,﻿天津化工研究院503组
﻿叶建国,﻿湖南农药厂
﻿孙炳寅,"﻿
2 南京栖霞山化肥厂"
﻿林文娜,"﻿
2 南京栖霞山化肥厂"
﻿徐微松,"﻿
2 南京栖霞山化肥厂"
﻿仇庆娣,"﻿
2 南京栖霞山化肥厂"
﻿刘立人,﻿湖北松木坪电厂
﻿张常书,﻿江西萍乡腐植酸工业联合公司
﻿赵健萍,﻿上海新沪钢铁厂
﻿唐凯,﻿上海新沪钢铁厂
﻿张荫伍,﻿天津拖拉机厂
﻿钱永洪,﻿化工部天津化工研究院
﻿刘惠闻,﻿化工部天津化工研究院
﻿向运吉,﻿重庆钢铁公司工程处
﻿梁尔兴,﻿成都机车车辆工厂一分厂
﻿钱庭宝,"﻿
2 天津第九塑料厂"
﻿刘维琳,"﻿
2 天津第九塑料厂"
﻿杨耀,
﻿周本省,﻿南京化工学院
﻿苏一平,﻿南京化工学院
﻿陆建英,﻿南京化工学院
﻿陈中兴,﻿华东化工学院
﻿陆柱,﻿华东化工学院
﻿罗伟君,﻿安庆石油化工总厂设计研究院
﻿姚孟,﻿安庆石油化工总厂设计研究院
﻿鲍其鼐,﻿安庆石油化工总厂设计研究院
﻿杨东方,﻿水利电力部西安热工研究所
﻿朱琴英,﻿水利电力部西安热工研究所
﻿何鹤鸣,﻿浙江省石油化工设计院
﻿车荣睿,﻿南开大学化工厂
﻿萧锦,﻿华南工学院
﻿施燮钧,﻿武汉水利电力学院
﻿项成林,﻿上海吴泾化工厂
﻿刘灿生,﻿哈尔滨建筑工程学院
﻿杨耀,﻿化工部冷却水处理科技情报中心站
﻿崔海滨,﻿核工业部第七设计院
﻿许维宗,﻿湖北电力试验研究所
﻿周书铨,﻿北京前进化工厂
﻿钱庭宝,"﻿
2. 天津第九塑料厂"
﻿刘维琳,"﻿
2. 天津第九塑料厂"
﻿张准,﻿天津市科委
﻿许学文,﻿华东化工学院
﻿徐寿昌,﻿华东化工学院
﻿周思毅,﻿中国科学院原子能研究所
﻿张新,﻿中国科学院原子能研究所
﻿郭秀英,﻿中国科学院原子能研究所
﻿王国群,﻿中国科学院原子能研究所
﻿范嗣英,﻿四川天然气研究所
﻿庞名立,﻿四川天然气研究所
﻿林明鹤,﻿化工部工业冷却水科技情报中心站
﻿吴家珊,﻿中国科学院山西煤炭化学研究所
﻿潘允珍,﻿中国科学院山西煤炭化学研究所
﻿张春爱,﻿中国科学院山西煤炭化学研究所
﻿刘程艳,﻿中国科学院山西煤炭化学研究所
﻿叶大远,﻿四川化工厂化工研究所
﻿邵刚,﻿冶金部建筑研究总院环保所
﻿王开文,﻿冶金部建筑研究总院环保所
﻿叶晓英,﻿赤水天然气化肥厂
﻿刘守业,﻿赤水天然气化肥厂
﻿郑菡文,﻿赤水天然气化肥厂
﻿袁利,﻿赤水天然气化肥厂
﻿孙晓,﻿上海石化总厂腈纶厂
﻿唐同庆,﻿武汉石油化工厂
﻿刘志刚,﻿湘潭市电石厂
﻿徐德恒,﻿天津大学化学工程系
﻿胡金生,﻿天津大学化学工程系
﻿生守兰,﻿化工部光明化工研究所
﻿李文融,﻿化工部冷却水科技情报中心站
﻿于忠民,﻿中国市政工程华北设计院
﻿王乃忠,﻿兰州铁道学院
﻿张震智,﻿化学工业部化肥司
﻿马玉,﻿劳动人事部
﻿李裕芳,﻿化工部天津化工研究院
﻿黄士宜,﻿山东省化工设计院
﻿王爱明,﻿营口市环境保护监测站
﻿李强,﻿南开大学化工厂
﻿项成林,﻿上海吴泾化工厂
﻿徐垂嘉,﻿上海吴泾化工厂
﻿康锡仁,﻿上海吴泾化工厂
﻿石英均,﻿宁波漂染厂
﻿杨承伟,﻿上海华东电力试验研究所
﻿高隆绪,﻿郑州铁路分局机务科
﻿季学福,﻿燕山胜利化工厂试验室水质组
﻿李俊明,﻿四川威远煤矿
﻿张一雪,﻿四川威远煤矿
﻿龙世通,﻿燕山石油化学总公司设计院
﻿聂世凯,﻿化工部天津化工研究院
﻿刘刚,
﻿陈伯森,﻿河南大学化学系
﻿常青,﻿中国科学院环境化学研究所
﻿汤鸿霄,﻿中国科学院环境化学研究所
﻿孙炳寅,"﻿
2. 南京大学化学系"
﻿林文娜,"﻿
2. 南京大学化学系"
﻿陈子涛,"﻿
2. 南京大学化学系"
﻿钱炳南,﻿国营红光化工厂
﻿方崇和,﻿四川维尼纶厂
﻿夏小钦,﻿四川维尼纶厂
﻿陈平,﻿吉林省白城地区劳动局人事处
﻿汪国衡,﻿四川化工厂设计所
﻿周都,﻿福建省福州第二化工厂设计研究院
﻿王刚,﻿襄阳轴承厂
﻿陈广平,﻿南京卫生防疫站
﻿薛鹤龄,﻿上海毛麻公司
﻿王根娣,﻿上海第五电表厂
﻿赵玉铭,﻿天津市劳动局
